Area,Status,Floor,Transaction,Furnishing,Society,Car Parking,Bathroom,Balcony,price,BHK_type,Address,Type,Main Road,Pool,Garden/Park,pricepersqft
578.0,Under Construction,0.0,New Property,Unfurnished,Yashwant Circle,1 Covered,1.0,2.0,0.72,1, Mumbai,Apartment,0,0,0,1245.67
435.0,Ready to Move,0.0,New Property,Unfurnished,Evershine Amavi 303,Unknown,1.0,1.0,0.45,1,Unknown,Apartment,0,0,0,1034.48
537.0,Under Construction,0.0,New Property,Unfurnished,Codename Triumph Tower 1,Unknown,2.0,1.0,1.5,1, Mumbai,Apartment,0,0,0,2793.3
400.0,Under Construction,0.0,New Property,Unfurnished,SD Siennaa,Unknown,1.0,1.0,1.3,1, Mumbai,Apartment,0,0,0,3250.0
486.0,Under Construction,0.0,New Property,Unfurnished,Adityaraj Fortune,Unknown,2.0,1.0,1.17,1, Mumbai,Apartment,0,0,0,2407.41
500.0,Under Construction,0.0,New Property,Unfurnished,Codename Triumph Tower 1,Unknown,2.0,1.0,1.4,1, Mumbai,Apartment,0,0,0,2800.0
544.0,Under Construction,0.0,New Property,Unfurnished,Kanakia Silicon Valley,Unknown,1.0,1.0,2.3,1, Mumbai,Apartment,0,0,0,4227.94
470.0,Under Construction,0.0,New Property,Unfurnished,Gokul Nakashtra,Unknown,2.0,3.0,0.53,1, Mumbai,Apartment,0,0,0,1127.66
448.0,Under Construction,0.0,New Property,Unfurnished,Kamla Borivali Lucky,Unknown,2.0,2.0,1.37,1, Mumbai,Apartment,0,0,0,3058.04
480.0,Under Construction,0.0,New Property,Unfurnished,S3 Skygreens,Unknown,2.0,1.0,0.64,1, Mumbai,Apartment,0,0,0,1333.33
422.0,Under Construction,0.0,New Property,Unfurnished,Runwal Timeless,Unknown,2.0,2.0,1.1,1, Mumbai,Apartment,0,0,0,2606.64
485.0,Under Construction,0.0,New Property,Unfurnished,AJMERA BOULEVARD,Unknown,2.0,2.0,1.58,1, Mumbai,Apartment,0,0,0,3257.73
410.0,Under Construction,0.0,New Property,Unfurnished,Opulence,Unknown,1.0,1.0,1.03,1, Mumbai,Apartment,0,0,0,2512.2
