Area,Status,Floor,Transaction,Furnishing,Car Parking,Bathroom,Balcony,price,BHK_type,Address,Type,luxury_type
578.0,Under Construction,low level,New Property,Unfurnished,1 Covered,1.0,2.0,0.72,1,Mumbai,Apartment,non luxury
435.0,Ready to Move,low level,New Property,Unfurnished,Unknown,1.0,1.0,0.45,1,Mumbai,Apartment,non luxury
537.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,1.0,1.5,1,Mumbai,Apartment,non luxury
400.0,Under Construction,low level,New Property,Unfurnished,Unknown,1.0,1.0,1.3,1,Mumbai,Apartment,non luxury
486.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,1.0,1.17,1,Mumbai,Apartment,non luxury
500.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,1.0,1.4,1,Mumbai,Apartment,non luxury
544.0,Under Construction,low level,New Property,Unfurnished,Unknown,1.0,1.0,2.3,1,Mumbai,Apartment,non luxury
470.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,3.0,0.53,1,Mumbai,Apartment,non luxury
448.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,2.0,1.37,1,Mumbai,Apartment,non luxury
480.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,1.0,0.64,1,Mumbai,Apartment,non luxury
422.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,2.0,1.1,1,Mumbai,Apartment,non luxury
485.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,2.0,1.58,1,Mumbai,Apartment,non luxury
410.0,Under Construction,low level,New Property,Unfurnished,Unknown,1.0,1.0,1.03,1,Mumbai,Apartment,non luxury
382.0,Under Construction,low level,New Property,Unfurnished,Unknown,1.0,1.0,0.81,1,Mumbai,Apartment,non luxury
391.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,1.0,0.98,1,Mumbai,Apartment,non luxury
449.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,1.0,1.15,1,Mumbai,Apartment,non luxury
490.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,3.0,0.61,1,Mumbai,Apartment,non luxury
409.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,1.0,0.94,1,Mumbai,Apartment,non luxury
415.0,Under Construction,low level,New Property,Unfurnished,Unknown,1.0,1.0,0.99,1,Mumbai,Apartment,non luxury
431.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,2.0,1.2,1,Mumbai,Apartment,non luxury
432.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,1.0,1.19,1,Mumbai,Apartment,non luxury
401.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,2.0,0.89,1,Mumbai,Apartment,non luxury
424.0,Under Construction,low level,New Property,Unfurnished,Unknown,1.0,1.0,1.28,1,Mumbai,Apartment,non luxury
428.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,1.0,1.1,1,Mumbai,Apartment,non luxury
435.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,2.0,2.39,1,Mumbai,Apartment,non luxury
447.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,2.0,1.05,1,Mumbai,Apartment,non luxury
545.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,2.0,1.75,1,Mumbai,Apartment,non luxury
